`Unnamed: 0.1,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,enjoying a beautiful day at the park!,positive,2023-01-15 12:30:00, User123      ,twitter, #Nature #Park                            ,15.0,30.0,usa,2023,1,15,12
1,traffic was terrible this morning.,negative,2023-01-15 08:45:00, CommuterX    ,twitter, #Traffic #Morning                        ,5.0,10.0,canada,2023,1,15,8
2,just finished an amazing workout! 💪,positive,2023-01-15 15:45:00, FitnessFan   ,instagram, #Fitness #Workout                        ,20.0,40.0,usa,2023,1,15,15
3,excited about the upcoming weekend getaway!,positive,2023-01-15 18:20:00, AdventureX   ,facebook, #Travel #Adventure                       ,8.0,15.0,uk,2023,1,15,18
4,trying out a new recipe for dinner tonight.,neutral,2023-01-15 19:55:00, ChefCook     ,instagram, #Cooking #Food                           ,12.0,25.0,australia,2023,1,15,19
5,feeling grateful for the little things in life.,positive,2023-01-16 09:10:00, GratitudeNow ,twitter, #Gratitude #PositiveVibes              ,25.0,50.0,india,2023,1,16,9
6,rainy days call for cozy blankets and hot cocoa.,positive,2023-01-16 14:45:00, RainyDays    ,facebook, #RainyDays #Cozy                         ,10.0,20.0,canada,2023,1,16,14
7,the new movie release is a must-watch!,positive,2023-01-16 19:30:00, MovieBuff    ,instagram, #MovieNight #MustWatch                  ,15.0,30.0,usa,2023,1,16,19
8,political discussions heating up on the timeline.,negative,2023-01-17 08:00:00, DebateTalk   ,twitter, #Politics #Debate                       ,30.0,60.0,usa,2023,1,17,8
9,missing summer vibes and beach days.,neutral,2023-01-17 12:20:00, BeachLover   ,facebook, #Summer #BeachDays                      ,18.0,35.0,australia,2023,1,17,12
10,just published a new blog post. check it out!,positive,2023-01-17 15:15:00, BloggerX     ,instagram, #Blogging #NewPost                      ,22.0,45.0,usa,2023,1,17,15
11,feeling a bit under the weather today.,negative,2023-01-18 10:30:00, WellnessCheck,twitter, #SickDay #Health                        ,7.0,15.0,canada,2023,1,18,10
12,exploring the city's hidden gems.,positive,2023-01-18 14:50:00, UrbanExplorer,facebook, #CityExplore #HiddenGems                ,12.0,25.0,uk,2023,1,18,14
13,"new year, new fitness goals! 💪",positive,2023-01-18 18:00:00, FitJourney   ,instagram, #NewYear #FitnessGoals                  ,28.0,55.0,usa,2023,1,18,18
14,technology is changing the way we live.,neutral,2023-01-19 09:45:00, TechEnthusiast,twitter, #Tech #Innovation                       ,15.0,30.0,india,2023,1,19,9
15,reflecting on the past and looking ahead.,positive,2023-01-19 13:20:00, Reflections  ,facebook, #Reflection #Future                     ,20.0,40.0,usa,2023,1,19,13
16,just adopted a cute furry friend! 🐾,positive,2023-01-19 17:10:00, PetAdopter   ,instagram, #PetAdoption #FurryFriend               ,15.0,30.0,canada,2023,1,19,17
17,late-night gaming session with friends.,positive,2023-01-20 00:05:00, GamerX       ,twitter, #Gaming #LateNight                      ,18.0,35.0,uk,2023,1,20,0
18,attending a virtual conference on ai.,neutral,2023-01-20 11:30:00, TechConference,facebook, #AI #TechConference                     ,25.0,50.0,usa,2023,1,20,11
19,winter blues got me feeling low.,negative,2023-01-20 15:15:00, WinterBlues  ,instagram, #WinterBlues #Mood                      ,8.0,15.0,usa,2023,1,20,15
20,sipping coffee and enjoying a good book.,positive,2023-01-21 08:40:00, Bookworm     ,twitter, #Reading #CoffeeTime                    ,22.0,45.0,india,2023,1,21,8
21,exploring the world of virtual reality.,positive,2023-01-21 13:20:00, VRExplorer   ,facebook, #VR #VirtualReality                     ,15.0,30.0,usa,2023,1,21,13
22,productive day ticking off my to-do list.,positive,2023-01-21 16:45:00, ProductivityPro,instagram, #Productivity #WorkFromHome           ,30.0,60.0,usa,2023,1,21,16
23,just finished a challenging workout routine.,positive,2023-01-22 09:15:00, FitnessWarrior,twitter, #Fitness #ChallengeAccepted             ,20.0,40.0,uk,2023,1,22,9
24,celebrating a milestone at work! 🎉,positive,2023-01-22 14:30:00, CareerMilestone,facebook, #Career #Milestone                      ,12.0,25.0,canada,2023,1,22,14
25,sunday brunch with friends.,positive,2023-01-22 12:00:00, BrunchBuddy  ,instagram, #Brunch #Friends                       ,15.0,30.0,uk,2023,1,22,12
27,learning a new language for personal growth.,positive,2023-01-23 16:20:00, LanguageLearner,facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,india,2023,1,23,16
28,quiet evening with a good book.,positive,2023-01-23 19:45:00, BookLover    ,instagram, #Reading #QuietTime                     ,15.0,30.0,australia,2023,1,23,19
29,reflecting on the importance of mental health.,positive,2023-01-24 11:30:00, MentalHealthMatters,twitter, #MentalHealth #SelfCare                 ,22.0,45.0,usa,2023,1,24,11
30,new painting in progress! 🎨,positive,2023-01-24 15:00:00, ArtistInAction,facebook, #Art #PaintingInProgress             ,12.0,25.0,canada,2023,1,24,15
31,weekend road trip to explore scenic views.,positive,2023-01-24 17:30:00, RoadTripper  ,instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,uk,2023,1,24,17
32,enjoying a cup of tea and watching the sunset.,positive,2023-01-25 18:00:00, SunsetWatcher,twitter, #TeaTime #Sunset                       ,15.0,30.0,india,2023,1,25,18
33,coding a new project with enthusiasm.,positive,2023-01-25 13:15:00, CodeEnthusiast,facebook, #Coding #Enthusiasm                   ,30.0,60.0,usa,2023,1,25,13
34,feeling inspired after attending a workshop.,positive,2023-01-26 09:45:00, WorkshopAttendee,instagram, #Inspiration #Workshop                  ,25.0,50.0,usa,2023,1,26,9
35,winter sports day at the local park.,positive,2023-01-26 14:20:00, WinterSports  ,twitter, #WinterSports #Fun                     ,15.0,30.0,canada,2023,1,26,14
36,quality time with family this weekend.,positive,2023-01-26 17:40:00, FamilyTime   ,facebook, #FamilyTime #Weekend                    ,22.0,45.0,uk,2023,1,26,17
37,attending a live music concert tonight.,positive,2023-01-27 20:00:00, MusicLover   ,instagram, #Music #ConcertNight                  ,18.0,35.0,usa,2023,1,27,20
38,practicing mindfulness with meditation.,positive,2023-01-27 12:30:00, MindfulMoments,twitter, #Mindfulness #Meditation               ,15.0,30.0,india,2023,1,27,12
39,trying out a new dessert recipe.,positive,2023-01-27 16:10:00, DessertExplorer,facebook, #Dessert #Cooking                      ,12.0,25.0,canada,2023,1,27,16
40,excited about the upcoming gaming tournament.,positive,2023-01-28 09:00:00, GamingEnthusiast,instagram, #Gaming #Tournament                     ,30.0,60.0,usa,2023,1,28,9
41,planning a garden makeover for spring.,positive,2023-01-28 14:45:00, GardenPlanner ,twitter, #Gardening #Spring                     ,25.0,50.0,usa,2023,1,28,14
42,celebrating a friend's birthday tonight! 🎂,positive,2023-01-28 19:30:00, BirthdayBash ,facebook, #Birthday #Celebration                  ,15.0,30.0,uk,2023,1,28,19
43,feeling accomplished after a productive day.,positive,2023-01-29 17:00:00, ProductivityWin,instagram, #Accomplished #Success               ,22.0,45.0,india,2023,1,29,17
44,a cozy evening with a good movie.,positive,2023-01-29 20:20:00, MovieNight   ,twitter, #CozyNight #MovieTime                   ,18.0,35.0,canada,2023,1,29,20
45,exploring local art galleries this weekend.,positive,2023-01-30 11:30:00, ArtExplorer  ,facebook, #Art #GalleryExplore                    ,15.0,30.0,usa,2023,1,30,11
46,new book release from my favorite author!,positive,2023-01-30 15:45:00, BookwormX    ,instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,uk,2023,1,30,15
